loop_count=22400/100000, max_score=94.2059, min_score=90.9734, running_time=2.9637h, search_time=1.04357h
loop_count=22500/100000, max_score=94.2059, min_score=90.9942, running_time=2.9776h, search_time=1.04845h
loop_count=22600/100000, max_score=94.2059, min_score=91.0207, running_time=2.99316h, search_time=1.05322h
loop_count=22700/100000, max_score=94.2059, min_score=91.0537, running_time=3.00702h, search_time=1.05808h
loop_count=22800/100000, max_score=94.2059, min_score=91.0796, running_time=3.02111h, search_time=1.06299h
loop_count=22900/100000, max_score=94.2059, min_score=91.1181, running_time=3.03587h, search_time=1.06788h
loop_count=23000/100000, max_score=94.2059, min_score=91.1559, running_time=3.05109h, search_time=1.07263h
loop_count=23100/100000, max_score=94.2059, min_score=91.1814, running_time=3.06648h, search_time=1.07755h
loop_count=23200/100000, max_score=94.2059, min_score=91.2228, running_time=3.07919h, search_time=1.08256h
loop_count=23300/100000, max_score=94.2059, min_score=91.2454, running_time=3.09405h, search_time=1.08751h
loop_count=23400/100000, max_score=94.2059, min_score=91.2799, running_time=3.10909h, search_time=1.09231h
loop_count=23500/100000, max_score=94.2059, min_score=91.3115, running_time=3.1238h, search_time=1.09739h
loop_count=23600/100000, max_score=94.2059, min_score=91.3453, running_time=3.13927h, search_time=1.10217h
loop_count=23700/100000, max_score=94.2059, min_score=91.3766, running_time=3.15447h, search_time=1.10706h
loop_count=23800/100000, max_score=94.2059, min_score=91.3962, running_time=3.16871h, search_time=1.11194h
loop_count=23900/100000, max_score=94.2059, min_score=91.4244, running_time=3.18428h, search_time=1.11682h
loop_count=24000/100000, max_score=94.2059, min_score=91.4546, running_time=3.19924h, search_time=1.12161h
loop_count=24100/100000, max_score=94.2059, min_score=91.4861, running_time=3.21483h, search_time=1.12649h
loop_count=24200/100000, max_score=94.2059, min_score=91.508, running_time=3.23052h, search_time=1.13149h
loop_count=24300/100000, max_score=94.2059, min_score=91.5416, running_time=3.24517h, search_time=1.13635h
loop_count=24400/100000, max_score=94.2059, min_score=91.563, running_time=3.26038h, search_time=1.1413h
loop_count=24500/100000, max_score=94.2059, min_score=91.579, running_time=3.27457h, search_time=1.14616h
loop_count=24600/100000, max_score=94.2059, min_score=91.5943, running_time=3.28764h, search_time=1.15109h
loop_count=24700/100000, max_score=94.2059, min_score=91.6175, running_time=3.30314h, search_time=1.15577h
loop_count=24800/100000, max_score=94.2059, min_score=91.6359, running_time=3.31778h, search_time=1.1607h
loop_count=24900/100000, max_score=94.2059, min_score=91.6529, running_time=3.33351h, search_time=1.16564h
loop_count=25000/100000, max_score=94.2059, min_score=91.6687, running_time=3.3485h, search_time=1.17054h
loop_count=25100/100000, max_score=94.2059, min_score=91.6864, running_time=3.36283h, search_time=1.17543h
loop_count=25200/100000, max_score=94.2059, min_score=91.7078, running_time=3.37824h, search_time=1.18028h
loop_count=25300/100000, max_score=94.2059, min_score=91.7276, running_time=3.39392h, search_time=1.1854h
loop_count=25400/100000, max_score=94.2059, min_score=91.749, running_time=3.40927h, search_time=1.19026h
loop_count=25500/100000, max_score=94.2059, min_score=91.7686, running_time=3.42465h, search_time=1.19507h
loop_count=25600/100000, max_score=94.2059, min_score=91.7791, running_time=3.43854h, search_time=1.19991h
loop_count=25700/100000, max_score=94.2059, min_score=91.7914, running_time=3.45354h, search_time=1.20489h
loop_count=25800/100000, max_score=94.2059, min_score=91.811, running_time=3.47012h, search_time=1.20979h
loop_count=25900/100000, max_score=94.2059, min_score=91.8395, running_time=3.48589h, search_time=1.21483h
loop_count=26000/100000, max_score=94.2059, min_score=91.8638, running_time=3.50012h, search_time=1.2198h
loop_count=26100/100000, max_score=94.2059, min_score=91.8802, running_time=3.51607h, search_time=1.22487h
loop_count=26200/100000, max_score=94.2059, min_score=91.8967, running_time=3.53005h, search_time=1.22974h
loop_count=26300/100000, max_score=94.2059, min_score=91.9177, running_time=3.5445h, search_time=1.23462h
loop_count=26400/100000, max_score=94.2059, min_score=91.9449, running_time=3.56095h, search_time=1.23955h
loop_count=26500/100000, max_score=94.2059, min_score=91.9542, running_time=3.57634h, search_time=1.24434h
loop_count=26600/100000, max_score=94.2059, min_score=91.9632, running_time=3.59144h, search_time=1.24903h
loop_count=26700/100000, max_score=94.2059, min_score=91.9901, running_time=3.60863h, search_time=1.25409h
loop_count=26800/100000, max_score=94.2059, min_score=92.0187, running_time=3.6243h, search_time=1.25902h
loop_count=26900/100000, max_score=94.2059, min_score=92.0427, running_time=3.63857h, search_time=1.26383h
loop_count=27000/100000, max_score=94.2059, min_score=92.0647, running_time=3.65291h, search_time=1.26871h
loop_count=27100/100000, max_score=94.2059, min_score=92.0954, running_time=3.66777h, search_time=1.27383h
loop_count=27200/100000, max_score=94.2059, min_score=92.1241, running_time=3.68255h, search_time=1.27874h
loop_count=27300/100000, max_score=94.2059, min_score=92.152, running_time=3.6975h, search_time=1.28376h
loop_count=27400/100000, max_score=94.2059, min_score=92.1757, running_time=3.71172h, search_time=1.28862h
loop_count=27500/100000, max_score=94.2059, min_score=92.2053, running_time=3.72806h, search_time=1.2937h
loop_count=27600/100000, max_score=94.2059, min_score=92.2318, running_time=3.74133h, search_time=1.29863h
loop_count=27700/100000, max_score=94.2059, min_score=92.2611, running_time=3.759h, search_time=1.30369h
loop_count=27800/100000, max_score=94.2913, min_score=92.2798, running_time=3.77552h, search_time=1.30858h
loop_count=27900/100000, max_score=94.2913, min_score=92.2991, running_time=3.79036h, search_time=1.31349h
loop_count=28000/100000, max_score=94.2913, min_score=92.3151, running_time=3.8053h, search_time=1.3184h
loop_count=28100/100000, max_score=94.2913, min_score=92.3314, running_time=3.82098h, search_time=1.32323h
loop_count=28200/100000, max_score=94.2913, min_score=92.3483, running_time=3.83496h, search_time=1.32807h
loop_count=28300/100000, max_score=94.2913, min_score=92.3651, running_time=3.85007h, search_time=1.33296h
loop_count=28400/100000, max_score=94.2913, min_score=92.3975, running_time=3.86526h, search_time=1.33783h
loop_count=28500/100000, max_score=94.2913, min_score=92.4127, running_time=3.88056h, search_time=1.34287h
