The seed number is set to 789
loop_count=33100/100000, max_score=90.8596, min_score=86.8038, time=1.52422h
loop_count=33200/100000, max_score=90.8596, min_score=86.8277, time=1.52885h
loop_count=33300/100000, max_score=90.8596, min_score=86.8428, time=1.53349h
loop_count=33400/100000, max_score=90.8596, min_score=86.8642, time=1.53811h
loop_count=33500/100000, max_score=90.8596, min_score=86.8837, time=1.54272h
loop_count=33600/100000, max_score=90.8596, min_score=86.9088, time=1.54753h
loop_count=33700/100000, max_score=90.8596, min_score=86.94, time=1.55192h
loop_count=33800/100000, max_score=91.7169, min_score=86.9518, time=1.55633h
loop_count=33900/100000, max_score=91.7169, min_score=86.9664, time=1.56075h
loop_count=34000/100000, max_score=91.7169, min_score=87.0002, time=1.5655h
loop_count=34100/100000, max_score=91.7169, min_score=87.0214, time=1.57h
loop_count=34200/100000, max_score=91.7169, min_score=87.038, time=1.5745h
loop_count=34300/100000, max_score=91.7169, min_score=87.0532, time=1.57908h
loop_count=34400/100000, max_score=91.7169, min_score=87.0812, time=1.58329h
loop_count=34500/100000, max_score=91.7169, min_score=87.1059, time=1.58777h
loop_count=34600/100000, max_score=91.7169, min_score=87.1422, time=1.59264h
loop_count=34700/100000, max_score=91.7169, min_score=87.1779, time=1.59712h
loop_count=34800/100000, max_score=91.7169, min_score=87.2145, time=1.60167h
loop_count=34900/100000, max_score=91.7169, min_score=87.2388, time=1.60606h
loop_count=35000/100000, max_score=91.7169, min_score=87.2525, time=1.61073h
loop_count=35100/100000, max_score=91.7169, min_score=87.2931, time=1.61599h
loop_count=35200/100000, max_score=91.7169, min_score=87.3099, time=1.62056h
loop_count=35300/100000, max_score=91.7169, min_score=87.3273, time=1.62517h
loop_count=35400/100000, max_score=91.7169, min_score=87.374, time=1.62988h
loop_count=35500/100000, max_score=91.7169, min_score=87.4407, time=1.63473h
loop_count=35600/100000, max_score=91.7169, min_score=87.5075, time=1.63963h
loop_count=35700/100000, max_score=91.7169, min_score=87.5579, time=1.64425h
loop_count=35800/100000, max_score=91.7169, min_score=87.6098, time=1.649h
loop_count=35900/100000, max_score=91.7169, min_score=87.6572, time=1.65363h
loop_count=36000/100000, max_score=91.7169, min_score=87.7178, time=1.65849h
loop_count=36100/100000, max_score=91.7169, min_score=87.7329, time=1.66309h
loop_count=36200/100000, max_score=91.7169, min_score=87.7538, time=1.66761h
loop_count=36300/100000, max_score=91.7169, min_score=87.7875, time=1.67226h
loop_count=36400/100000, max_score=91.7169, min_score=87.8159, time=1.6769h
loop_count=36500/100000, max_score=91.7169, min_score=87.8381, time=1.68155h
loop_count=36600/100000, max_score=91.7169, min_score=87.8469, time=1.68596h
loop_count=36700/100000, max_score=91.7169, min_score=87.8527, time=1.69035h
